"gene","ensembl_id","baseMean","log2FoldChange","pvalue","padj","regulation"
"SPARCL1","ENSG00000152583",998.337855826788,4.53693895296024,3.51102704883639e-105,5.81531410098772e-101,"Up"
"STOM","ENSG00000148175",11208.0708502114,1.43500946092324,1.79534354441698e-74,1.48681375630892e-70,"Up"
"PHC2","ENSG00000134686",2741.5819778392,1.36731485157229,5.56701785887399e-58,3.07355055988433e-54,"Up"
"PER1","ENSG00000179094",777.318224357546,3.13181518591258,6.22859853570532e-57,2.57910693867218e-53,"Up"
"MT2A","ENSG00000125148",3660.24035945837,2.17664821909941,9.53346867637759e-53,3.15805683373684e-49,"Up"
"DUSP1","ENSG00000120129",3412.96636722969,2.8980189644418,1.38593094508154e-48,3.8258623738976e-45,"Up"
"MAOA","ENSG00000189221",2344.07926169212,3.23764567563561,9.79344702438012e-48,2.3172694723544e-44,"Up"
"KCTD12","ENSG00000178695",2656.00165466089,-2.46758511421879,1.06058289227884e-45,2.1958043056018e-42,"Down"
"ZBTB16","ENSG00000109906",385.38949167206,7.04542943704535,3.69172082447217e-45,6.79399689063695e-42,"Up"
"SAMHD1","ENSG00000101347",12718.3059992293,3.74874764216467,9.7219778967643e-43,1.61025119904107e-39,"Up"
"NEXN","ENSG00000162614",5400.10399071683,1.99824250455295,1.20679908206716e-41,1.81711029057076e-38,"Up"
"SLC6A9","ENSG00000196517",230.182325910481,-2.18796251274884,1.43951199566625e-41,1.98688643201834e-38,"Down"
"ARHGEF2","ENSG00000116584",2255.14282808729,-1.00181881444866,1.02938966367111e-40,1.31152161533728e-37,"Down"
"FKBP5","ENSG00000096060",2567.11286939017,3.81523512267963,1.53464959634672e-39,1.81560009030648e-36,"Up"
"DNAJB4","ENSG00000162616",1469.61478449393,1.48827375291042,1.2401647934607e-36,1.36938996493931e-33,"Up"
"ABAT","ENSG00000183044",499.376173433,1.13352359804577,2.25543029080553e-36,2.33479324416325e-33,"Up"
"NNMT","ENSG00000166741",7440.95640874438,2.12262300801453,5.64180941489763e-35,5.49678172582055e-32,"Up"
"FAM171B","ENSG00000144369",1306.01694739283,-1.3233141113075,1.23105082902861e-33,1.13277193784449e-30,"Down"
"GASK1B","ENSG00000164125",5604.39126164999,1.09891003643436,7.84868027279799e-33,6.8419837557028e-30,"Up"
"COL1A1","ENSG00000108821",101199.166044773,-1.27240565002649,4.99612018792864e-32,4.1375369336331e-29,"Down"
"CCDC69","ENSG00000198624",2059.60456650262,2.81691734558238,1.89009829797441e-30,1.49074752901667e-27,"Up"
"JADE1","ENSG00000077684",1572.84281565562,1.17564051933769,5.96638475608169e-30,4.49187412340823e-27,"Up"
"MORF4L2","ENSG00000123562",5047.46889147517,1.00426596338304,8.33033899810384e-30,5.99893064459104e-27,"Up"
"STEAP1","ENSG00000164647",1923.30652153534,1.51494997397245,3.74991850346653e-29,2.54339110300672e-26,"Up"
"RAP2B","ENSG00000181467",632.160881481862,-1.2430059955109,3.83896501691529e-29,2.54339110300672e-26,"Down"
"GLUL","ENSG00000135821",19632.4516563578,2.91457699857092,9.32593517817869e-29,5.94097939831437e-26,"Up"
"ARMC8","ENSG00000114098",1011.60086160952,1.31904070486473,1.02503587875933e-28,6.28802565181137e-26,"Up"
"PNPLA2","ENSG00000177666",1703.49580418853,1.07637731756088,2.08504820143546e-28,1.23338047715627e-25,"Up"
"FGD4","ENSG00000139132",1224.85906994744,2.20131573302681,5.20530911246361e-28,2.9729494768874e-25,"Up"
"VCAM1","ENSG00000162692",509.374874361374,-3.46969618523628,1.0407292458569e-27,5.74586616637596e-25,"Down"
